user,Followers,Followees,mediacount,Likes,Comments,Distance,place,Caption,langue,Title,URL,Date,Liste des Likes,Liste des Commentaires,Tagged users,Sponsorisée,The Posts sponsors,Number of sponsors,Video viewers,Engagement Rate
aymantounsi,5270,2246,49,424,2,Nul,,"Feeling the magic of the violin❤️🎻 

🎻 For your weddings, events, receptions, engagements birthdays, and openings ❤️",en,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/280054502_164350539330386_2187292631878666722_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=OpaKmQLiNjQAX_qGtfL&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=MjgzMzc0NDE1NDc0ODU3NjU5Mg%3D%3D.2-ccb7-5&oh=00_AT8MJEp3oqHuwV6EYbegJd07NOppjjlbho3I__2fhOFQ-g&oe=62EF1F16&_nc_sid=30a2ef,2022-05-08 17:50:49+01:00,<generator object Post.get_likes at 0x000001F78E156B20>,<instaloader.nodeiterator.NodeIterator object at 0x000001F788B57CD0>,[],False,[],0,,8.045540796963948
aymantounsi,5270,2246,49,158,1,Nul,,Brunch Day 😍❤️🎻,en,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/293718119_570327411259095_8247775378679424284_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=103&_nc_ohc=KAyC9D2oskoAX-ud7AN&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT-pOHBqO1JQV5-MLhfjipMzbiJWaoXMVMI9efo-F0UjdA&oe=62E9CA7D&_nc_sid=4f375e,2022-07-17 17:09:57+01:00,<generator object Post.get_likes at 0x000001F78E156AB0>,<instaloader.nodeiterator.NodeIterator object at 0x000001F78E176020>,['sabrine_bentaher'],False,[],0,3406.0,2.998102466793169
aymantounsi,5270,2246,49,102,1,Nul,,"You’ll find that life is still worthwhile, if you just smile😍🎻 عيدكم مبروك❤️

#violin#violinist#music#musicians#violon#liveperformance#livemusicphotos#musically#musical#violinplayer",en,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/292463837_2579787278818584_3188372359228523115_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=wrjJDvUH9F0AX-qr07W&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg3ODUwMjcxNzU3NjM2MTg3NQ%3D%3D.2-ccb7-5&oh=00_AT8CGWLKesL9Rr_LqRr_rxMnx_uXL8NC4FIagtlpSE14GQ&oe=62EEBF3A&_nc_sid=30a2ef,2022-07-09 11:58:05+01:00,<generator object Post.get_likes at 0x000001F78E157D80>,<instaloader.nodeiterator.NodeIterator object at 0x000001F788B57B80>,[],False,[],0,,1.935483870967742
aymantounsi,5270,2246,49,705,7,Nul,,"Vous avez un Mariage 💍 Un évènement spécial🔥 Une ouverture 🎉😍?

🎻 Le Violoniste Ayman Tounsi vous offre

✨ Une Entrée spéciale pour vos fêtes de Mariage, Fiançailles...💍❤️

✨Vos ouvertures, avec une touche artistique🎉

✨ La Douceur et la Classe, pour vos Dîners Gala, Évènements Spéciaux..❤️

✨ Une animation spéciale et personnalisée, un Splendide Violin-Show pour vos Soirées🎻

Vivez La Magie du Violon avec Ayman Tounsi🎻❤️ 

Réservez dès-maintenant!

☎ + 216 50 309 071
➡ Instagram: @aymantounsi 
➡ Facebook: Ayman Tounsi
➡ Email: aymantounsiviolin@gmail.com",fr,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/291941252_565314845181120_640216312823542862_n.jpg?stp=dst-jpg_e35&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=JNMQhHRsjtUAX8TcLGi&edm=ALQROFkBAAAA&ccb=7-5&ig_cache_key=Mjg3NTE2NzkzMTM3MzkzNDYzNA%3D%3D.2-ccb7-5&oh=00_AT-u64S8dGuKK3H-XvcZb1PgyDqXUC3QnV7Rt-cQ-MeuzQ&oe=62EF59D4&_nc_sid=30a2ef,2022-07-04 21:32:28+01:00,<generator object Post.get_likes at 0x000001F78E156D50>,<instaloader.nodeiterator.NodeIterator object at 0x000001F788B57C10>,[],False,[],0,,13.377609108159394
aymantounsi,5270,2246,49,649,2,Nul,,صداق Rourouette & Ammar Jemal 💍🎻,fr,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/290784076_363830445863330_4535347244414443078_n.jpg?stp=dst-jpg_e35_p1080x1080_sh0.08&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=OqNVCJyVrDIAX8Ppu9x&tn=giKUqI6UUgsc8J8q&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT9Oo8HFMkyW96zlxey6waiZfQmk8w4eQglPqotAGURpHQ&oe=62EA10AC&_nc_sid=4f375e,2022-06-29 17:04:39+01:00,<generator object Post.get_likes at 0x000001F78E156FF0>,<instaloader.nodeiterator.NodeIterator object at 0x000001F788B56DD0>,"['rourouette', 'ammarjemal5']",False,[],0,69903.0,12.314990512333965
aymantounsi,5270,2246,49,625,0,Nul,,"Vivez La Magie du Violon 🎻😍
Réservez dès-maintenant pour tous vos évènements!

☎️+ 216 50 309 071",fr,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/290625377_376349881053190_3214409650957722991_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=VdHEaMPgA-0AX8XVJVP&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT9PZuExopJZZU3ZvM4G-FqwYwS3z8WAh2256_ee-lN6MA&oe=62E9C787&_nc_sid=4f375e,2022-06-28 14:38:57+01:00,<generator object Post.get_likes at 0x000001F78E1570D0>,[],[],False,[],0,62641.0,11.859582542694497
aymantounsi,5270,2246,49,43,2,Nul,,"Engagement Day💍 
Violin Vibes🔥❤️",nl,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/287006509_1202571843874262_6470430835940364787_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=w7SE9ncQvRQAX_E0UEs&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT_h7U5alQSzzFvHDARGkjXO5w62EsuPwng2nFrCTew7Ow&oe=62E9D0FC&_nc_sid=4f375e,2022-06-12 15:53:27+01:00,<generator object Post.get_likes at 0x000001F78E1571B0>,<instaloader.nodeiterator.NodeIterator object at 0x000001F788B57D90>,[],False,[],0,1951.0,0.8159392789373814
aymantounsi,5270,2246,49,72,0,Nul,,🥰🎻,undefined,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/284122302_534048388175577_8780054286329181843_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=PyGuh7alF5EAX_sB2Gn&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT_jmA_3SrdWVpiQ9lxUBr2s3xh_CrOKNrGMIGxPVKLsTA&oe=62EA21D7&_nc_sid=4f375e,2022-05-26 19:44:31+01:00,<generator object Post.get_likes at 0x000001F78E156DC0>,[],['institut_physio'],False,[],0,1847.0,1.366223908918406
aymantounsi,5270,2246,49,172,10,Nul,,"إرسمني في ليلك نجمة ✨
ضيها يلمع في العين 😍🎻",ar,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/281688698_561501842022093_6399664871116307179_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=109&_nc_ohc=muX3u_4zat8AX-QNYs4&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT9s3u2EubQot1GbZOXJcadTlSsEGJ3yp6rINtA66WzcpQ&oe=62E9FE6D&_nc_sid=4f375e,2022-05-20 19:00:59+01:00,<generator object Post.get_likes at 0x000001F78E156C70>,<instaloader.nodeiterator.NodeIterator object at 0x000001F78E0A7B20>,[],False,[],0,1827.0,3.2637571157495255
aymantounsi,5270,2246,49,218,3,Nul,,🇹🇳🎻💍,undefined,,https://instagram.ftun14-1.fna.fbcdn.net/v/t51.2885-15/280244776_1270083273531961_8310571449511922474_n.jpg?stp=dst-jpg_e15&_nc_ht=instagram.ftun14-1.fna.fbcdn.net&_nc_cat=101&_nc_ohc=fDZxEyEJ-B4AX9AXJq5&tn=giKUqI6UUgsc8J8q&edm=AP_V10EBAAAA&ccb=7-5&oh=00_AT8gw3kYHh4QRmcQLpqX03fxgmOWyPMGzcqd_GcneePn2Q&oe=62EA1508&_nc_sid=4f375e,2022-05-10 20:08:47+01:00,<generator object Post.get_likes at 0x000001F78E157290>,<instaloader.nodeiterator.NodeIterator object at 0x000001F788B54DF0>,[],False,[],0,5195.0,4.136622390891841
